query,reference,prediction
ED_aapmoal,GD-gelukkeg-haar-n-aander-hond-vanuut-de-veerte-ales-zain,0.7925437736040797
ED_aapmoal,GD-hailmoal-in-n-knoedeltje-op-n-dikke-waarme-scheuveltruie,0.8768392619475803
ED_aapmoal,GD-hai-sluip-en-meer-niks,0.7116135297333377
ED_aapmoal,RB-deur-de-hoast-gleden-ze-nog-n-hiel-ende-deur-over-de-gladde-vaarf-van-de-uutstekende-bredjes,0.789168523229934
ED_aapmoal,RB-hai-hoalt-der-geld-uut-en-geft-froukje-de-poddemonnee-weerom,0.7611439068282002
ED_aapmoal,GD-dou-aal-vlugger-en-vlugger,0.7869210993863386
ED_aapmoal,GD-alemoal-in-haile-mooie-klaaier,0.8901561088619946
ED_aapmoal,HS-hufst-nait-baang-wezen,0.7369887436485456
ED_aapmoal,RB-of-je-baargen-de-schil-op-in-joen-buuts,0.7415636304089067
ED_aapmoal,HS-din-daansen-wie-der-mit-nkander-tussendeur,0.7484628653546622
ED_aapmoal,HS-dat-wos-ze-nait-zeker,0.7237715629371706
ED_aapmoal,GD-opa-lagde-nait,0.7401837227161829
ED_aapmoal,OV-toun-ze-dizze-popkes-deroet-huilen-waren-gonnent-goldachteg-geel-en-aandern-goldachteg-broen,0.8147458230873452
ED_aapmoal,OV-nou-is-t-tied-om-heur-leven-ien-te-bloazen,0.7990119271916006
ED_aapmoal,HS-dat-leek-heur-zulf-t-beste-tou,0.7469984311138503
ED_aapmoal,RB-hai-hoalt-n-benaneschil-teveurschien-en-let-hom-aan-dkinder-zain,0.783058765536635
ED_aapmoal,GD-en-wat-haar-ze-n-nuver-snoetje,0.6830081628445044
ED_aapmoal,OV-ze-doofde-t-vuur-en-huil-de-popkes-deroet,0.7565360023987204
ED_aapmoal,RB-wie-springen-en-doun-of-we-op-peerd-zitten,0.7415024570237102
ED_aapmoal,HS-oetklaiden-els-most-der-morn-weer-vroug-oet,0.8213665469967606
ED_aapmoal,HS-ze-namen-mit-n-dikke-smok-ofschaaid-van-jonker,0.7701705491001171
ED_aapmoal,RB-de-beide-muskes-warren-toch-zo-bliede-dat-ze-al-kwetterend-n-poar-rondjes-boven-t-schoelplein-vlogen,0.7675525778733716
ED_aapmoal,GD-ze-stak-heur-haand-uut-en-vuilde-of-ze-de-toverstaine-vinden-kon,0.7423706653410008
ED_aapmoal,HS-t-is-net-of-ze-mie-aankieken,0.7651011445820635
ED_aapmoal,OV-lutje-jonkjes-en-wichtjes-van-klaai-dij-der-ongeveer-net-zo-oetzagen-as-zaizulf,0.7919637495034093
ED_aapmoal,GD-wiert-ging-mit-klaaine-stappies-noar-de-keunk-tou,0.7454772324386548
ED_aapmoal,GD-mor-dat-zag-gelokkeg-gainaine,0.6957223529989226
ED_aapmoal,HS-dij-klonk-hol,0.7950102718380252
ED_aapmoal,HS-en-pebaaierde-jonker-aan-te-hoalen,0.8373756899543097
ED_aapmoal,HS-der-hong-n-dichte-dook-over-t-dorp-hin,0.7596662534356777
ED_aapmoal,OV-veuraal-as-de-doagen-kort-werden-ien-t-noajoar,0.7747039945421424
ED_aapmoal,GD-stil-zaten-de-mensen-te-luustern,0.7152158791551441
ED_aapmoal,HS-aandere-winters-vil-der-snij,0.7573108302208518
ED_aapmoal,HS-der-was-inbroken-in-borg,0.7198497698094192
ED_aapmoal,RB-kiek-mor-ais-in-t-rond-kinder,0.7102854782311139
ED_aapmoal,GD-mor-wie-reken-op-die,0.7751611848422921
ED_aapmoal,RB-den-stopt-hai-de-schil-weer-in-zien-buuts,0.7420999669872927
ED_aapmoal,HS-dij-ging-as-eerste-weer-op-pad,0.7432114904380542
ED_aapmoal,HS-hinterdetwinter-in-t-blaikveld-stoan-nou-al-vroug-in-t-veujoar,0.7575293162603896
ED_aapmoal,RB-goenent-warren-bij-de-iengang-van-t-schoelplein-met-n-ereboog-aan-t-moaken,0.8434675174673216
ED_aapmoal,HS-t-rook-der-muf,0.7392710915534523
ED_aapmoal,HS-pas-as-vorst-tot-grond-oet-was-din-was-winter-over,0.7716795008242804
ED_aapmoal,RB-den-goan-dkinder-ofpotten-wel-hom-wezen-mout,0.7381766268702212
ED_aapmoal,HS-want-ze-haiten-ook-wel-snijklokjes,0.7560393667719785
ED_aapmoal,GD-mit-steert-tussen-de-pootjes-luip-hai-den-mor-weer-vot-en-jankde-zachies-veur-zok-uut,0.7239096861129557
ED_aapmoal,HS-en-kregen-smoak-goud-te-pakken,0.8043010228119709
ED_aapmoal,HS-zo-vlogen-zover-meulenweg-vlak-bie-bomen-laangs,0.7639867637787141
ED_aapmoal,GD-hai-keek-heur-hail-wies-aan,0.7134575712009081
ED_aapmoal,GD-ze-luip-t-middenpad-deur-en-ale-mensen-begonnen-haard-te-klappen,0.7762993218575193
ED_aapmoal,HS-en-t-hoar-roeg-op-de-kop,0.7324558174425536
ED_aapmoal,GD-en-de-prachtege-klanken-vulden-de-haile-zoal,0.758373098886868
ED_aapmoal,GD-woar-waren-heur-mooie-bloumen-mit-de-laange-linten,0.7910654285113764
ED_aapmoal,HS-t-was-wel-dudelk,0.7208580872287764
ED_aapmoal,RB-ien-die-tied-ging-der-gien-een-doef-ien-en-der-kwam-ok-gien-een-uut,0.7830321986508103
ED_aapmoal,GD-paulien-keek-ter-noar,0.7210402332810566
ED_aapmoal,HS-ze-haren-grootste-lol,0.7823943130067268
ED_aapmoal,OV-maor-wat-gef-dat,0.6615592232092049
