query,reference,prediction,mixed_score,KNN,Random Forest,Decision Tree,Naive Bayes,SVM
TTS_HO_leken,RB-onderin-de-tas-ligt-moe-heur-poddemonnee,0.95686734160998,0.8787071908375577,0,0,0,0,0
TTS_HO_leken,GD-langzoam-ston-paulien-op-en-luip-noar-de-raande-van-t-teneel-en-boog-noar-ale-kaanten,0.9473903580813834,0.8962692630845696,0,0,0,0,0
TTS_HO_leken,RB-as-ze-noar-huus-tou-lopen-hebben-ze-de-grootste-lol-om-dij-male-gruinteboer,0.9337073063842976,0.8729054098287085,0,0,0,0,0
TTS_HO_leken,GD-mor-dou-ze-goud-keek-zag-ze-dat-t-n-klaain-vogeltje-was,0.9319600611157148,0.8580730028883728,0,0,0,0,0
TTS_HO_leken,RB-ze-lopen-noar-de-gruinteboer-tou,0.9276431277715944,0.8492853439057354,0,0,0,0,0
TTS_HO_leken,OV-aapmoal-n-beetje-aans,0.92708471806254,0.8323714867410654,0,0,0,0,0
TTS_HO_leken,RB-ik-goa-ook-noar-huus-tou,0.9219152409911252,0.809916944988827,0,0,0,0,0
TTS_HO_leken,HS-t-was-nog-te-vroug,0.9202387948515384,0.8117814256851968,0,0,0,0,0
TTS_HO_leken,HS-t-was-nog-volop-winter-in-toen,0.9189080443171308,0.8192492193339188,0,0,0,0,0
TTS_HO_leken,HS-mor-dou-was-der-ain-noakend-wiefke-dat-n-plan-kreeg,0.9170866988675171,0.857996670318894,0,0,0,0,0
TTS_HO_leken,HS-zag-n-swaart-gat,0.9145385739427774,0.8314914267233001,0,0,0,0,0
TTS_HO_leken,RB-elk-gaait-noar-zien-aigen-huus-tou,0.9144735437888106,0.8112175864599672,0,0,0,0,0
TTS_HO_leken,RB-hai-hoalt-n-benaneschil-teveurschien-en-let-hom-aan-dkinder-zain,0.9140105043293566,0.8375897737603021,0,0,0,0,0
TTS_HO_leken,GD-wiert-mos-der-aalweg-noar-kieken,0.9139777534500706,0.868688552747971,0,0,0,0,0
TTS_HO_leken,OV-an-alle-huze-in-de-straote-hangt-vlaggen,0.9134884340205078,0.8743433672015586,0,0,0,0,0
TTS_HO_leken,HS-doe-kinst-dien-haile-leven-nog-op-t-nust-liggen,0.9121454506585228,0.8958351446173989,0,0,0,0,0
TTS_HO_leken,GD-ze-wollen-aiglieks-nog-aal-open-blieven,0.9120750712932544,0.8948327525751391,0,0,0,0,0
TTS_HO_leken,GD-wat-kon-hom-t-ook-verschelen,0.91091866656594,0.8507143840996315,0,0,0,0,0
TTS_HO_leken,HS-mor-dij-is-toch-soavends-dicht,0.9108750344312868,0.8620258197732071,0,0,0,0,0
TTS_HO_leken,OV-en-toun-bluizen-ze-aal-de-popkes-ain-veur-ain-leven-ien,0.910655336602186,0.9192670114329305,0,0,0,0,0
TTS_HO_leken,HS-kropen-ze-wel-van-zien-rug-of-en-zollen-heur-deur-bult-hin-vrozzeln,0.9098158785313591,0.8058898612703556,0,0,0,0,0
TTS_HO_leken,GD-de-keunegin-zat-noast-hom-en-huil-zien-pootje-vaste,0.9093310037228804,0.8456066941095997,0,0,0,0,0
TTS_HO_leken,RB-de-muskes-werden-wat-driester-en-duurfden-allerdeegs-op-t-bredje-stoan-om-te-kieken-wat-der-zo-aal-omweg-ging,0.9087562795683668,0.8709715419682115,0,0,0,0,0
TTS_HO_leken,HS-t-was-november-en-hail-stil-boetendeur,0.9073706371974156,0.8345319318221075,0,0,0,0,0
TTS_HO_leken,HS-zo-vlogen-zover-meulenweg-vlak-bie-bomen-laangs,0.9071446739407064,0.88606842036861,0,0,0,0,0
TTS_HO_leken,OV-nou-is-t-tied-om-heur-leven-ien-te-bloazen,0.9070090359251938,0.9008895720489248,0,0,0,0,0
TTS_HO_leken,HS-bist-doe-gek,0.9059416710170471,0.855513085625609,0,0,0,0,0
TTS_HO_leken,HS-wel-dat-dudelk-vernemen-kon-was-swaarde-mol,0.9056675743012248,0.8771240478979335,0,0,0,0,0
TTS_HO_leken,HS-as-mien-mamme-wait-dak-nait-op-ber-lig-din-is-t-nait-best,0.90513761783764,0.8613091340747453,0,0,0,0,0
TTS_HO_leken,HS-geef-els-mor-n-sloapmutske-mit-veur-thoes,0.9037998185778338,0.8827097132942824,0,0,0,0,0
TTS_HO_leken,HS-veurlopeg-even-nait,0.9036099065088804,0.86346636149708,0,0,0,0,0
TTS_HO_leken,GD-mor-t-mooie-licht-was-vot,0.9019803832482159,0.8425082385066117,0,0,0,0,0
TTS_HO_leken,GD-pa-en-moe-en-oma-mozzen-der-haard-om-laggen,0.9003864815051352,0.8567870212138956,0,0,0,0,0
