query,reference,label,prediction
ED_aapmoal,GD-aaltied-wuir-hai-ofblaft-omdat-e-zo-swaart-was,0,0.768598730326138
ED_aapmoal,GD-aan-de-kaande-stonden-de-pabbe-en-moeke-van-t-jonkje,0,0.754207180864611
ED_aapmoal,GD-achteraan-in-dtoene-ston-n-hege,0,0.757797154378073
ED_aapmoal,GD-alemoal-in-haile-mooie-klaaier,0,0.890156108861995
ED_aapmoal,GD-allainde-n-beetje-klaainer-en-platter,0,0.747077025912106
ED_aapmoal,GD-binnen-twij-tellen-lag-e-zulf-ook-in-zien-waarme-nussie,0,0.753560910017126
ED_aapmoal,GD-de-keunegin-zat-noast-hom-en-huil-zien-pootje-vaste,0,0.792040305926314
ED_aapmoal,GD-de-keunk-hong-hom-om-wiert-zien-nekke,0,0.692005153535143
ED_aapmoal,GD-der-was-ais-n-jonkie-dat-geern-dreumen-wol-mor-nait-dreumen-kon,0,0.849177810156261
ED_aapmoal,GD-dien-tromme-nait-vergeten,0,0.747444805174557
ED_aapmoal,GD-doalek-het-dij-hond-ale-honden-in-de-buurt-verteld-hou-flink-t-swaarde-hondje-is,0,0.77764219978677
ED_aapmoal,GD-doar-mog-e-op-traktaaiern,0,0.778080768928871
ED_aapmoal,GD-doar-paasde-zai-ins-nait-tussen-met-heur-korde-nachtponne-aan,0,0.737580679307708
ED_aapmoal,GD-dou-aal-vlugger-en-vlugger,0,0.786921099386339
ED_aapmoal,GD-dou-gingen-de-mensen-weer-zitten,0,0.731141470131131
ED_aapmoal,GD-dou-hai-zo-wit-was-as-snij-runde-t-hondje-haard-weg,0,0.757805161044559
ED_aapmoal,GD-dou-mie-aine,0,0.745776391922848
ED_aapmoal,GD-dou-was-der-meziek-in-de-koele-onder-de-hege,0,0.746375226166412
ED_aapmoal,GD-eerst-hail-zachies-bewogen-heur-handen-over-de-toetsen,0,0.797279727435161
ED_aapmoal,GD-en-ain-van-zien-stroalen-vuil-op-de-mooie-widde-staine,0,0.77524772066341
ED_aapmoal,GD-en-bie-dij-hege-ston-n-swieniegel,0,0.779761999225874
ED_aapmoal,GD-en-de-prachtege-klanken-vulden-de-haile-zoal,0,0.758373098886868
ED_aapmoal,GD-en-doar-zatten-ze-van-smorgens-vroug-tot-soavends-loat-in,0,0.776197238693189
ED_aapmoal,GD-en-even-loater-was-t-net-of-ze-optild-wor,0,0.782152974643113
ED_aapmoal,GD-en-hai-gaf-hom-n-stotje-in-de-rogge,0,0.780940950164304
ED_aapmoal,GD-en-hai-gaf-hom-nog-n-stiever-stotje,0,0.729603589260329
ED_aapmoal,GD-en-hai-snurkde-n-beetje,0,0.705719208805403
ED_aapmoal,GD-en-hai-was-hail-glad,0,0.717141578766743
ED_aapmoal,GD-en-in-heur-handen-haar-ze-klongel,0,0.777986900698412
ED_aapmoal,GD-en-je-mozzen-wel-zingen-of-je-wollen-of-nait,0,0.789661507078388
